row_number,polarity,text
258,0," Now, what's the a concern is that there might be data seft, there might be dealing of money in this case right so as a market for mobile financial services has developed and grown the protection of consumer financial information and from unauthorized access should be of prime importance Right, we need to know how to authenticate the consumers identification to keep the data transfer process safe from viruses and malware, and these other attacks and it's important to have a wholesale approach"
259,0, So this is covered throughout the entire process and generally information held by banks and other server service and provide service providers is very important and there's a risk there of leakage through hacking tampering unauthorized access
260,1," So we need to make sure, there's adequate measures and safeguards for consumer data protection"
261,1, Now in the United States there are regulatory measures in place
262,1, The first one is called gramm-leach-bliley
263,1, This is our the u
264,1,s
265,1, privacy law
266,1," I know in Europe there's a much better privacy law, but you know for, as we said, this is it's geared toward the US market or we'll touch on some other areas as well, but under gramm-leach-bliley, as with any privacy law, it's important to protect the consumers non-public Personal information which under gramm-leach-bliley is information provided to a financial institution by a consumer, something that results from a transaction or service from the consumers or something like a credit card transaction you're buying that cup of coffee you're buying your your new watch or whatever or it's Other information somehow obtained by the financial institution, this information, it can include loan terms lender or mortgage broker names, sales amounts and sales concessions, co-borrower information, unpublished, phone numbers and other contact information, and anything really that it's that would be sensitive to an individual consumer"
267,1," Even the fact that a particular consumer is engaged with a particular lender is considered to be protected information if has not been recorded publicly or disclosed in some other way, if there's a breach of data security with respect to private information by any entity to whom GLB Applies then, that entity would be liable for that breach"
268,1," Now we're going to talk about data liability a little later, we're going to talk about the target breach and some of these other breaches in more detail, but generally gramm-leach-bliley applies to any financial institution or any really any vendor or subcontractor of a financial institution or anyone"
269,1," That'S that's making use of this information, so it can also apply to merchants to credit card processors"
270,1," People like that, it's a fairly broad interpretation"
271,1," It can apply to insurance brokers, security firms, tax preparers, real estate settlement companies, etc"
272,1," Now, with respect to mobile financial services, there's a question as to whether it applies to mobile carriers like Sprint or t-mobile or Verizon, and a lot of times you can buy things directly and have it charged to your to your mobile bill"
273,1," That'S that's another type of mobile financial services that the nd, the carriers have their own system they're trying to develop"
274,1," But it seems like this, the NFC things like Google and Apple I pay and those those kind of technologies I think, are going to gain ground and gain more traction with consumers and prop overtake the carrier"
275,1, Efforts in this area there's another regulatory factor to consider
276,1," Okay, this is the sarbanes sarbanes-oxley"
277,1," Excuse me: sardines, Oxley, act, hard hard to pronounce"
278,1," This applies really applies to public companies, any public company in the US, but they operate overseas as well"
279,1," It requires them to have accurate financial information, and it also requires any orders and subcontractors downstream that contribute to that financial information to to ensure that their technology systems and their internal controls are in in prepared and made in such a way that that information ends up Being accurate, it's about you know giving investors correct information now"
280,1, The way this ties in is it's logical to assume that any data theft or unauthorized access of data might be minimal in terms of gramm-leach-bliley
281,1," It may not impact gramm-leach-bliley, but it may impact sarbanes-oxley if it affects the financial condition of a company and that's actually"
282,1, This is actually a bigger target for hackers
283,1," You know hackers that may not be interested in your $ 5 coffee purchase, but they might be interested in"
284,1, They would be interested in
285,1, You know JP Morgan's reporting information or their financial statements
286,1, Non-Compliance with these provisions can lead to hefty fines being imposed on the institutions and entities involved
287,1," Now, there's some other our regulatory measures, but I want to just touch on and also come into play for mobile financial services"
288,1," There are FTC regulations which govern how you deal with customers, consumers and they apply to anyone, but they especially apply to banks in dealing with consumers, and it involves disclosure, proper disclosure to customers and not doing anything"
289,1," That'S misleading and advertising things like that, and this all takes"
290,1," These are laws that were in effect before mobile technology existed, but they still apply, they've been deemed to apply and common sense tells you even though you're doing something differently"
291,1, This is still going to apply as long as you're feeding information to consumers
292,1, There are also some state data breach disclosure laws
293,1," Here in the United States, we have over 40 different data, breach disclosure laws that all have different requirements"
294,1," There'S some movement toward having a federal data, breach disclosure law I'll talk about a little later, but right now it's really sort of this fractured structure and then, in terms of financial services, the certainly anyone that uses a credit card or payment card is going to be Subject to compliance with the PCI data standards and they actually need to be compliance really before you start using them"
295,1," If, if you're not compliant, it cannot only lead to PCI fines, but it can lead to liability in the courts"
296,1," The courts will say: hey you didn't even bother to comply with PCI you're, certainly guilty"
297,1," So it's this almost presumption of guilt if you're, not in compliance"
298,1," So the real question here is: what's the liability to banks and and their vendors, their subcontractors right? Is the bank service provider? How would they be held liable for these tampering of information, even though they're in compliance they're in compliance with pieces, either in compliance with GLB that they've done everything they're legally required to do? Would they still be liable, and it really seems that the law is not clear in this respect? Customers still might have recourse against these entities for traditional claims of negligence, breach of contract breach of fiduciary duty, but it's not clear"
299,1, There'S no clear-cut provision for holding an entity liable for loss of data due to acts like hacking
300,1," There'S there plenty of instances targeted, they just announced the settlement the other day"
301,1, There'S there's other plenty of cases
302,1," These big high-profile cases, people are going to sue and they have claims, but it's not clear how legitimate those claims are or or how much the banks, so the financial institution is going to be liable for the problem is it's it's just scary, because it isn't unknown And you never know if you're going to get the court that some courts, you know or juries my favor higher awards than others"
303,1," However, there is an increasing view that the laws in general should be rewritten to assign greater responsibility to service providers and other organizations that handle large amounts of personal information"
304,1," Like a cloud service provider, let's say, and the view is that such organizations should be legally required to inform their customers as soon as there's a hack or any data loss or any data penetration really and that they should be held legally liable for the financial impact"
305,1," On their customers as a result of hacking and identity theft, there are laws in Congress nothing's on the books, but there our draft laws that are being circulated to this effect to impose this higher standard on these companies"
306,1," So, just to summarize and conclude this section on mobile financial services, clearly the matter transactions are going to increase"
307,1, There are regulatory constraints that impose these conditions
308,1, It'S it's likely
309,1," Those regulatory constraints will increase and, as the number of users increase, there's going to be, it's a greater challenge to the marketplace and the regulators and and really service providers and technology people in the industry"
310,1," To handle this, I mean people want to be able to make payments through their mobile phones"
311,1," It'S something people are willing to provide, but how can you do it in a safe way and I don't think that people should be able to company should be able to handle someone else's money without being regulated or having some kind of oversight"
312,1," But at the same time, that oversight can't be so strict that it doesn't make business sense for that transaction to take place"
313,1," Okay, move on to our next section cloud computing in keeping"
314,1," Even I am a time I want to talk about the risks of cloud computing, we'll talk about some of the legal and regulatory issues again, we'll talk about briefly talk about negotiation issues and contracting objectives with the last two typically in cloud computing"
315,1," It'S not always easy to negotiate, there's often very little to negotiate unless you're a big player a big fortune, 500 companies, don't they rarely sign the standard cloud computing contractors"
316,1, There'S definitely
317,1," I know plenty of instances of some heavy negotiation, but for most businesses the contract is pretty much, take it or leave it"
318,1," However, when constructing those contracts and making those service offerings, I think the cloud providers need to take into account some of these legal and regulatory issues, because they're going to be held accountable down the road and, if there's a regulatory requirement, even if the contract says otherwise, The cloud computing vendor is is going to be held liable in the next slide"
319,1, This is one of my favorite slides
320,1, It'S a great picture
321,1, You know we now live in a cloudy world right
322,1," We have these these network clouds, and this is this - is actually an old diagram that I modified from in the late"
323,1, It was 1998 1999
324,1," We did a lot of network outsourcing, and this was how we sort of describe the clouds well"
325,1, This is now evolved
326,1, Cloud grew out of network outsourcing and it's still at its most basic level
327,1," That'S what it is, but but there are these clouds right"
328,1, This is a large multinational
329,1, Companies will have data centers kind of along these lines
330,1, They certainly be one for Europe
331,1," This data requirements and other things in Europe that are common, so it's easy, have one data center for Europe, a data center for North America, data center for Asia, Pacific and then Latin America as well"
332,1," So we we just live in a world, that's segregated! In that way - and I think it's it's good to know - and it's good to set your business model so that you're, maybe attacking or addressing one markets needs at time at a time, so I just want to go"
333,1," I want to move a little quicker here, so cloud computing"
334,1," You know there's a definition here, but it's really a shared pool of configurable computing resources right, whether it's a network, a server software applications or literally services, but the services are usually provided by means of some type of software and it's broken down into three large categories"
335,1, Here so the first is infrastructure as a service
336,1," So that's you know: you're getting X, server capacity and Y latency, etc"
337,1," The next is platform as a service, so maybe you're getting some hearing, availability to hardware and you're getting a basic platform, some middleware in which to run your applications and the last is sass"
338,1," What used to be called application, service, provider or ASP is where you're really sort of making use of some software? It'S not on your service on someone else's server, but you don't see any of that"
339,1, You don't know
340,1," What'S going on there, you're really just using the software that whatever functionality, whatever business model, you've chosen to accept cloud computing, can be used a lot of ways"
341,1, It can be
342,1, The traditional Service Bureau set up where maybe you're buying payroll services and you it's just a website and you're putting information you're receiving information
343,1," It could be information technology outsourcing, so it's more like the platform as a service or the infrastructure as a service, or there might be some technology heavy business process which is useful to outsource, and this happens a lot in financial services where there's credit-card processing"
344,1," As an example of something like that, where there's a lot of technology that happens behind the screen, no one really wants to know the details"
345,1, I just want to know that it's done correctly and you know certain restrictions in place
346,1," Well, why don't? Why do people outsource to the cloud? The first might be financial motivation? Maybe it's cheaper makes sense financially"
347,1," It might also mean it's easier to identify the costs and segregate those cost and and understand, predict whether you're going to save money or not"
348,1, You can certainly access more infrastructure at a lower cost and often software at a lower cost
349,1," It allows management to focus on the core competencies of the company, whether it's in financial services, whether it's some type of investment management or, as I said, credit some something in the credit card, world marketing credit cards or selling insurance, or anything like that"
350,1," Typically, cloud computing has there's a significant resource commitment in the cloud right once these clouds are built"
351,1," They stay in place for the for the customer, there's a fixed contract term and the contract terms themselves"
352,1, They can either be simple or complex
353,1, I think it depends on the business relationship and really the leverage that the customer has
354,1," As I said, for large multinational companies, they typically rarely sign a standard cloud contract without some negotiation for smaller companies"
355,1," They just don't have the leverage, so they they adopt"
356,1," Whatever the cloud vendor is providing the market for these services - and the pricing, I think, is still in flux"
357,1, There'S a lot of competition out there there's a lot of different service offerings and I think it's important to do research when contemplating any sort of cloud computing usage any use of cloud computing
358,0, So what are the risks of cloud computing be? Certainly there can be security breaches that the cloud service provider doesn't discover
359,0," Data can be in jurisdictions without adequate data protection, as we as we serve as these different clouds around the world"
360,1," Typically, Europe has a European data center"
361,1, Everyone knows Europe has great privacy laws
362,1," Let'S, let's put all our data over there, you know and segregated that's one way to ensure that your data is protected"
363,0," But the question is: are you asking your cloud service provider? Hey? Are you? Are you putting this in the right place? Oh you're protecting it directly because the regulations that we talked about earlier, the privacy regulations, etc"
364,0, The regulators don't care
365,1," If, if a bank hires a service provider and the service provider makes a mistake, the bank is still going to be held accountable"
366,1," There you're not going to be able to shift liability and just say: oh, I didn't do it, my service provider did"
367,1," They are going to hold the bank liable for that and and typically, as we kind of touched upon these, these cloud computing vendors"
368,1, The providers have a lot of discretion in their terms and conditions a lot of times it's boilerplate contracts
369,1," So maybe you can't get something in the contract, but you still need to ask the question a what you know"
370,1," Where is my data? Is it protected, etc? Some other risks involve service providers using data for their own purposes right sometimes so"
371,1, They'Ll do data mining or they'll
372,1," Well, they typically like to aggregate data and find trends and and use that information for other purposes"
373,1," As a customer, I think you have to question whether you want someone else learning things about your business and then going out and making use of it and again I think it's important to have it comes down to the contracting"
374,1," There needs to be accountability and responsibility with the subcontractors, the cloud provider that you're contracting with may have its own subcontractors people"
375,1, You don't even see again people behind the screen
376,1," It'S important to ask who are those people are they accountable? Can I rely on them? Other risks involved, you're really losing control of your data"
377,0," Are you keeping backups? Is the cloud provider keeping backups how difficult it is it to get to that data? If you need it, another risk you're sharing the infrastructure with who knows you could be sharing it with a hacker or someone else"
378,1," So how does the cloud provider you know, address those types of risks and really this this less of an ability to monitor your data unless you've somehow put something in place or the the service provider themselves discloses things like you know: they're the ability of their services To to really deliver on what they promised all important questions to ask when getting into the wind getting into a cloud situation, so let's them too? How does this apply to financial institutions? Well, in the United States, there's something called the FFIEC"
379,1," You can see federal financial institutions, examination council and what that is, it's a really consortium of financial regulators and they issue regulation and they call it guidance from time to time"
380,1," It'S not necessarily the same as a regulation, but it does carry the same weight if you're, not in compliance you're, going to end up on the wrong side of the regulator's, which is not something you want and they have"
381,1, They have pretty much come out and said: they've actually come out and said that you need to do due diligence on a cloud service provider
382,1, You need to confirm they can comply with any regulatory changes that may came up to come up and regulatory structures that are already in place
383,1, You need to be able to audit the IT side of it need to have effective monitoring of information security and to make sure they have the resources so that you can continue doing business right
384,1," You wouldn't want to see your bank shut down because their service provider went out of business or or there was a maybe an earthquake at a data center or something like that, and these are important from the customer side, the company buying cloud services"
385,1," But I think it's it's crucial for companies that want to provide services to financial institutions need to understand this because you can, you can come into the marketplace and say: we've got a great cloud offering and you're going to try to sell to financial institutions"
386,1," But if you ignore these regulations, you're never going to get traction you're not going to be able to sell to a big financial institution because because their stock, they have to abide by these things"
387,1," Now, when you Europe, you know it has its own set of privacy regulations and they actually have a issued a set of standards for cloud computing very similar to the US version, but it's actually more detailed they've got model terms and conditions for service level agreements"
388,1," Certainly, they have data protection, security standards, interrupt the built interoperability and data portability standards, and then they have for the environmental side"
389,1, They have standards for consumption and emission
390,1," You know, typically with with these large data centers, they can use a lot of energy and contribute a lot of heat and carbon to the environment, briefly just to touch on case law, the use of cloud computing 10"
391,1, This first case increase the number of contacts or personal jurisdiction
392,1, I don't know how many lawyers are out there
393,1," I don't want to get the non lawyers rolling their eyes, but really what this means is, if you're hiring a service provider who has a data center in Ireland and you're in the US, and someone slips and falls at the data center in Ireland, you can be Sued, you can you, can they can say hey this Court has jurisdiction over"
394,1, You
395,1, You'Ve got this
396,1," If not your data center you're you're using the data center, but it's been founded, it can contribute to a finding of jurisdiction"
397,1, There similar thing happened with this Cablevision case
398,1, The second case is that the the the company itself was not infringing
399,1," The question was, you know, are they they're downloading all this data and they're putting copyrighted material in the data center and then it gets copied several times? A similar question came up"
400,1, Is that copyright infringement this court found it wasn't because they were merely storing it for them? So that's that's good to know that you're not going to be held liable for that in that situation
401,1," From the final case here, this is really Google fighting against Microsoft"
402,1, Microsoft had been picked for some federal contract and Google was just fighting saying it wasn't a fair and open situation
403,1," I think, as part of the cloud wars between the big cloud companies, this kind of thing you'll see more and more of so, let's touch quickly on negotiating issues"
404,1, You really need to address the IT and business exec objectives to know what they are ahead of time and be able to manage those different objectives
405,1," There needs to be flexibility in the relationship, especially when you're you're, getting into a situation where you're putting important sensitive data on the cloud"
406,1," You need to know that it's protected, you need to be able to get to it in an emergency, and you need to be able to"
407,1, You want to be able to grow because you start to become reliant on cloud service providers and it's hard to switch
408,1," It'S hard to switch to another vendor, so you want to have some flexibility so that for the from the customer side you want to grow it and then from the service provider"
409,1, Certainly you want to be able to grow the relationship with the customer
410,1," You want to make it easy for the customer to buy more services from you, so I think an awareness of these issues would help service providers make give a better, offering and find more attraction in the market"
411,1, Just briefly touch on liability issues
412,1, There
413,1," Certainly, identification is a big issue"
414,1," To one extent, will the service provider be responsible for things like data breaches? As I said, the regulators aren't going to excuse the financial institution just because they have outsourced their computing services, some cloud provider, so the cloud customer again is going to have to look to that cloud provider to say you know"
415,1," To what extent are you going to be responsible? A lot depends on leverage that, at the same time, you know the market reality is that the there's a demand for this sort of thing and the vendors are going to have a difficult time really getting traction"
416,1," Certainly with with bigger players in the financial services industry, they might sign a contract here, contract there at a big company, but sooner or later the CIO is going to get wind of it and I've seen it happen where you know some cloud provider or some SAS Provider has picked off this division, that division and then all of a sudden, one of the c-level executives finds out about it and they threaten to terminate the contract or they force them to renegotiate"
417,1, And you know with a big enough customer
418,1, It'S going to have an effect consequential damages
419,1," These are typically excluded, although there's some confidentiality restrictions that are carved out of that, let's say and then the contract is usually limited to direct damages"
420,1, This can work from both sides and there's is actually a a insurance requirements
421,1, Insurance to surance companies typically require some kind of cap
422,1," I'M just I'm going to go quicker here, we're running low on time as there's other stuff"
423,1, I want to cover service levels
424,1," I think, if you're familiar with this industry, certainly you want to know what service you're getting and have something in place that describes that, for for some service levels that are important, you might be able to get service level credits, although that is, is harder and harder To find with cloud services termination rights, you want to be able to terminate, but, more importantly, the problem is: what do you do? It'S it's not always a termination sounds like it's the the right remedy, but for the customer it's not always easy"
425,1," How you get out of that relationship? You'Ve got data, you've, got clients using that service or accessing that service through your systems"
426,1," How do you really address it and really the big issue here? The last point: there data data data, that's really it you know, and that's it's part of them"
427,1, It'S a double-edged sword
428,1," It'S nice to have cloud services, they're very useful, but you've got your service"
429,1," Your data, your most important data, you know - can be in someone else's hands, and how do you address that? You have any further questions in this area? There'S something called the cloud security alliance"
430,1, This is a nonprofit organization that promotes the use of best practices in cloud computing
431,1," It has security, trust and assurance registry, which addresses security controls, and you can you can even get a certificate of competency in cloud security issues"
432,1," Okay, but something else call this is this is internationally there's an international working group on data protection and communicat"
433,1,The era of FinTech and handheld finance has arrived
434,0, The increased frequency of FinTech transactions also leads to a greater number of security issues
435,0," We looked into the security of FinTech a prerequisite hurdle for the sector college student chica does not carry a wallet most of our spending, including transportation costs is carried out through mobile devices"
436,1, Mobile transactions have made Shias lifestyle far more convenient when she enjoys a cup of coffee
437,1, She takes advantage of put your service by ordering and pain through an app [ Music ] banking errands can be done from any convenient location
438,1," Nowadays she uses a simple transfer service which enables bank transfers in less than a minute, with a pin number with no need for a digital certificate"
439,1," Bueno jajaja no see daddy gon na impose upon herself me llamo, Rafael, wifey, soho, keygen, corrugated, Emily Bonnie, you an enchanted rock or store-bought on Tamina cat adoption"
440,1," Guatemalans libertine sacrifice to get her to the white testimony today, 28 or money on autonomy"
441,1," In this way, the application of FinTech is expanding every day throughout our lives"
442,1, The global mobile market this year is expected to surpass seven hundred billion dollars
443,0," Experts point to security as a critical task that must be addressed for the FinTech market to continue its growth in Korea, where eighty-five percent of all financial transactions are electronic"
444,1," Even greater attention is needed, pinter clip 1, i'm reading on grade or go to your kitchen and couldn't regain back up RO can get to know each other cause you will commune has are the only depois de toledo"
445,1," Have we seen a tall handsome King John Hunter at a genetic Mandarin of you could remove the tag energy demand owners? Oh k, dr top one, is 714 at canara, didn't their chicken costume the rural commune ganda 1m1 cuckoo gyeongmin terrible war, colgate aragon, hum tere ki tamanna wooden out of warranty, seven upgrade for Delmon Young ha"
446,1, I need a go pinta clip1 titles in the back
447,1," Today'S forum, quran hungarian, spoke on Monday Quran 60 mucho mucho, Joey jonica Helen gorgeous even to punch at one shift and accreditation"
448,0, Government fintech security related incidents are persistent
449,0," The suspension of electronic ID certificate use, which spearheaded financial security for 17 years, was largely due to continued hacking concerns"
450,0," What'S more, security card numbers are easily leaked and one-time number generators are difficult to carry accordingly"
451,1, Companies are competing fiercely to develop a solution for such limited security technologies
452,1, Among the most promising methods for ID verification is the use of biometrics
453,1," Biometric identification uses unique bodily information for security, offering advantages in terms of both safety and convenience"
454,1, Fingerprint and iris scans are already used in smartphone and financial security
455,1," A domestic company specializing in biometrics recently received attention with its development of a verification method, more intricate than iris or fingerprint scans"
456,1," It uses vein patterns in the user's hand, to verify identity, the method projects near-infrared light on the veins in a user's finger and verifies the image"
457,1, It is almost impossible for the same pattern to be found in anyone else and equally difficult to forge
458,1," One vein, which is why the technology itself promising some costume neon enon valley, lodge window- una yoga, proven agua y multimodal engine"
459,1," Each olive oil commun Gotye Pony ninguno de tiro, Haggadah Menon Don Pardo ug got ta, go, don't hang the opilio with intent to mahadji"
460,1, Scindia security technology is also evolving to address the ever-changing patterns used by hackers
461,1, A research group dates intention is developing a way to combine multiple security technologies into one
462,1," The result has been the creation of fido a security verification platform where, as each technology required its own platform in the past now, phyto offers a one-stop solution"
463,1," Voice echoes NPS desarrollo de cosas que han han de a hollandaise and early Monday wrote alejandro LOL photo see us in France, Trinidad hidin on Simon Kincaid, mocha, venti, mocha sauce and an arbitrary limits on direction are genuine"
464,1," Prolly Camuto found an anonymous under content over us before, without that, in an eternal soul are joking here, we'll see, caroline is under"
465,1, So if I obsolescence con tanta will chat with year
466,1," Oh ha, you e"
467,1," The research staff are also developing situational awareness technology that employ the users, environment or usage patterns"
468,1," I on Java, but Polian work there"
469,1, Most people during doesn t animas sparkle pony
470,1," You want a hint of potential world who founded the refundable of endurance to DJ by the way to go, so she go on hunger and parcel calendar home of a UN, and even Hungarian theaters in business of Loki vulnerable found the pornography national sake, hello, Howard, similar Elongated resort so guro challenger getting on padonia in Toronto, I'm gon na gay, the North nuisance 200 mpa animal yo, porn, suffocating fidelity, an elicitor and an audience apostle"
471,1," Also in acid ever seen, the financial sector is also exerting efforts to bolster transaction security"
472,1," In October of last year, who's on bank was able to block farming, scam losses amounting to four hundred and forty thousand dollars"
473,1, This was made possible through an fds program
474,1," Such programs detect patterns in the user, access, including the amount and location of transactions, and recognize irregularities"
475,1," Such as potential incidents recently, there have been reports of a I being applied to such FPS technology, raising the level of security vivillon cosmic or a proposed hago yo yo yo yo yo yo heroin, gun Saroja, where days or LOL GG Allin from situation"
476,1," Young jeezy, where father Guido potatoes, agra to kindling yo, yo, yo, japanese, high res, Oh Paul, Mongolia, hello, madam autonomy, quran saba, ruby, dee, vander, universe' quran, surah yaseen"
477,1, Could you tell me the development of next-generation security solutions will allow Korea to take on a role of leadership
478,1, The high added value fields of the FinTech industry
479,1, You 
480,1,"[ Music ] hi, I'm Ali Paterson, on this episode of finding finance, we're taking a look at compliance and innovation"
481,1," For this we speak with push for Bank of America Merrill Lynch, SCB and Rabobank"
482,1," Firstly, I went to speak with mike williams from push for to hear a little bit about the impact that gdpr is going to have on the industry"
483,1, We'Re gon na see a lot of fines because I think we you know the reality is
484,1," Banks are not gon na, be they're gon na be ready by May 2018"
485,1, It'S gon na be a quite a long journey
486,0," There'S a lot of issues are going to need to resolve in terms of you know, legacy systems and you know changing the way they operate and then probably adding to those systems and extending you know the capability of what they currently have"
487,1, So it's a journey
488,1, So I think you know there will be a large number of finds in in terms of brexit
489,1, I don't think it really changes anything
490,1, It was interesting
491,1, Recently there was a report where I think it said one in four organizations has cancelled their preparation
492,1," You know when they heard a brexit thinking, you know gtp, I wouldn't applies them anymore, but basically, if you hold any date on EU residents, it doesn't matter where your operation is"
493,1," You know in the world, you know whether you're a US company, a PAC company European company, gdpr replies to you"
494,1," So you know, I think again, eights there's, probably an education process that needs to take place, still some organizations on what what GTR really means and that and the true impact it could have on their"
495,1, But I think it's gon na be a hectic few years
496,1," I said Douglas Mackenzie to speak with Matthew Davies, to hear a little bit around these new regulations and the positive impact they may have"
497,0, A lot of the time regulation drives a lot of challenges
498,0, You know banks have to spend a lot of money each year investing to stay current with changing regulations
499,0, Corporates have to comply with changing regulations and some of those pressures filter through one sights or the other
500,1," But I think there is, as you say, there's a very, very positive opportunity that comes from regulatory change as well"
501,1," Great example would be PSD to payment services directive 2 and when you look at what that regulation is doing, it's really opening up the market for more providers to provide banking type services, whilst the account providers are are opening up to allow those providers to compete"
502,1," In this space, I think that that is both a threat and an opportunity for the existing players in the market and the positive change from a technology perspective"
503,1," That'S being driven out of that is obviously ap ice, and you know when you think about the potential application of api's"
504,1, We think there's some really really interesting possibilities and will really shift the dynamic between how companies and banks interact with one another and when you start to combine that with the move towards real-time payment
505,1," I think you're gon na see some very, very interesting solutions developed from banks and other providers in this space Douglas then traveled to Sweden to speak with Rasmus y'all bought from SCB to hear a little bit around the opportunities that gdpr represents"
506,1, Sure
507,1," I think if you look at GDP R, it is a game changer not just for banks, but for all industries, and for once this is not a piece of regulation that only hits the financial industry, but it's across the board and there I would say, if anything, Us banks have an advantage: we've lived under similar regulation for years"
508,1, This is a new piece of regulation
509,1," I think we are very good at handling customer data, but it becomes a different paradigm because it's two main things right: the right to be forgotten, and if you consider that we have multiple systems with where your address, for example, is stored, it become about knowing all The places that information is stored in being able to wipe it and, secondly, to be able to move your data to another provider which really again isn't something we've had to do so it needs to be"
510,1," We need to standardize the data and the metadata around the data and be able to transfer that, but, as with any regulation, if you look at GDP our, if we look at some of the other stuff that's coming in, we really try to align it to our Own values as a bank, and because we think, transparency and fairness to customers and and access and control of your own data is something that the customers should have for us"
511,1, It becomes less of a philosophical issue and more of just a technical sort of conundrum
512,1," How do we comply in the best possible way? How do you make is easy to use for the customers? If anything we see, GDP are a sort of a snow plow for some when the data work that needs to be done anyway, to become more data driven to onboard more data sources onto the lake"
513,1," We say if we're going to be compliant, which we have to be, and here are some of the steps we need to take"
514,1, You know what those steps will also help us become better at using data from lots of other purposes
515,1," So we see it really when we keep looking for it, not the regulatory arbitrage, but for the synergies of what the legislation is trying to do"
516,1, We want to do yeah it's interesting
517,1," So if I go back to the whole issue, around unstructured content and and let's - let's take - you - know a representation to the problem in terms of potential hacks and data leakage, then the problem is really goes back to sending content now"
518,1," In some cases, email is fit for purpose, but in other cases it isn't because part of GPR requires you to put in systems that are secured by design email"
519,1," Isn'T you know if you take any any email scenario, you end up with multiple footprints of content throughout your organization or external to the organization, completely out of control, so the exciting thing, and if you look at what we do it push for, is the key"
520,1," The key takeaway from push for is push, don't send, so we have a a US patent for what we call pushing content and in a push all the content stays secured by design on the server"
521,1, It never leaves the server
522,1," So then, you think, how do you actually allow anybody to view it, and this is the clever thing behind the patterns"
523,1, It effectively projects a view of the content through to any device
524,1," You don't need any of the authoring software on the device and nothing is left on the device after the view, so nothing can be hacked into on the device"
525,1, So that fixes a lot of the issues around gdpr because you're preventing a potential hack into the content
526,1," You also prevent the issue around human behavior, which is, I might just forward it accidentally or maliciously to someone I shouldn't, because you can control the number of views how long I'm allowed to do it, for if I try and screenshot the content, it kills"
527,1," The content and notifies the author, and if, if at any point I need to pull back the content, I can and then on the other side is I have this live link through to the content and, and it means I can absolutely monitor what the end user Is doing in terms of their consumption and content, so I know where they viewed the content, so I could GGO ring-fence the content to an office or a country"
528,1, I can absolutely detect
529,1, You know what they're doing in terms of viewing right down to a section level
530,1," So you can imagine you know if I might be looking at particular set of products, information and then that you know that would be fed back immediately"
531,1," So I may, you know, then engage with them to help them through understanding the product better"
532,1," So you get this full control, you get full analytics back from the content consumption, so you address gdpr and, at the same time allow people to access real-time content on their own device"
533,1," So you know bring your own device, which is again a big driver for the bank, so that way, allowing people to bring their own device means I, as a consumer, can access content wherever it suits me best on whatever device it sees me best"
534,1, So I improve the customer engagement make it easier for me to do business with
535,1, I was interested to hear about some of the uses of big data and any compliance issues around this sure it's early days
536,1," Yet I think what is really happening today, a really good customer relationship manager could look at across the data almost manually right and put together a piece of advice for customers"
537,1, Saying I see that you have a young payment being made in you subsidiary in Brazil
538,1," You should swap that out before you have a cache call and your Tokyo, Treasury or whatever right, but today the customer would be impressed and happy with that advice tomorrow, it's gon na, be"
539,1," Why didn't you tell me you see everything? Why didn't you, hedge out my currency, exposure before you knew the cash sweep was coming? So I think that is really what you need to do with the data and we're starting with baby steps, but, for example, one of the things we're doing with our SME clients"
540,1, It'S kind of the Amazon next product to buy we're all used to this
541,1," For my personal lives, you buy a book next time, you're into Amazon"
542,1, It will tell you you: should you probably like this book we're using that same technology and that same algorithm to really see a for an SME company? Here'S what you have other companies your size with your geographical exposure usually have this
543,1," I can say it's pretty simple, but for the customers actually a value, add today using big data on the private side"
544,1," It'S I talked about our investment in tank now tank, of course, and their site aggregates all your financial information and so being able to say you know, you're actually earning a subpar interest rate here wanting to move swap this setting to here or your mortgage payment there's"
545,1, So many bits above what other people in your area are paying
546,1, So that's something we're experimenting with we're
547,1," Also, looking at mortgage churn, which interesting once when, when my customer swaps out our mortgage for some other banks mortgage, and we used to not really understand why customers were leaving us"
548,1, And we looked at that in the data model with only three months - historical data
549,1, And now experimenting and testing different drivers
550,1, We'Ve actually been able to predict with 74 % accuracy when a customer will leave us two weeks before their
551,1, They know they're gon na leave us right
552,1," So it really changes the paradigm on the marketing and being able to did a very specific, very tailored marketing"
553,1," Where you know the customer representative so far will call up and say you know: how are you happy with your mortgage? You know we may see that you want to move, and you know we would love to provide you with a mortgage in your new house and the rest of it right, but really using that data proactively is what it's all about"
554,1," I would just urge them to understand the difference between push, don't send because it's a quick fix, it's something that they can implement immediately and it would prevent the data the risk of a data leak which effectively is 80 percent of the risk for them"
555,1, Based around the unstructured content is something can do immediately and it's complimentary to the systems that are already have in place
556,1," So you know, while you're working out, you know what to do long-term, stop the biggest threat you know plug the leak over in the Netherlands"
557,1, I caught up with Finbar Hayes from Rabobank to hear about some of the customer experience issues when it comes to managing big data day
558,1, Data is the basis of customer interaction
559,1," I think we make a big thing out of data, but basically, when you do a face-to-face interview, you're also reading data and acting upon the data, I think in the ideal world, your automation will do the same thing that we are doing right now"
560,1," You will get a question you will answer, and the next question will be ideally based on the answer you gave just before that you're, seeing more and more of that and getting better and better"
561,1," I think there are a lot of instances, especially in the in the service field, where this automated question answer is being used all the time, and I think the customer doesn't really notice and I think the opposite"
